# Movsim.org example data for fuel consumption modeling
# Source: Ostfalia Hochschule - Institute of Traffic Management http://www.ostfalia.de/cms/en/ifvm
# Wednesday,22,April,2009,12:32:39
# 03G 906 021 KH ,,"R4 1,9L EDC G000SG  8984",,
#,Group A:,'015,,,,Group B:,'006,,,,Group C:, Not Running,,,,,,,Gemessener,,,
#,,UPM,Drehmoment,Kraftstoffverbr,Drehmoment,,Drehzahl,Bin/Bits,Last,Bin/Bits,,,Zeitschritte,Zeit,Zeit,Weg,Geschwindigkeit,Beschleunigung,Verbrauch VAGCOM,,,
#,,UPM,Torque,Fuel Consumption,Torque,,number of rotations,Bin/Bits,Load,Bin/Bits,,,Timestep,Time,Time,Position,Speed,Acceleration,Consumption VAGCOM,,,,,,,,,,,,,,,,,,,,
#,TIME,,,,,TIME,,,,,TIME,,dt,t,t,s,v,a,bs,,v,v
#MARKER, STAMP, /min, Nm, l/h, Nm,STAMP, km/h,,%,,STAMP,,s,h,min,km,km/h,m/s2,l,,km/h,m/s
,61.13,1281,100,2.8,100,61.35,33,1000,31.4,0,,,0.45,0.01,0.81,0.55,32,0.30,0.03,,32.34,8.98
,61.58,1302,124.4,3.8,131.8,61.8,33,1000,42,0,,,0.45,0.01,0.81,0.56,32,0.60,0.03,,32.34,8.98
,62.04,1344,156.2,5,158.6,62.26,34,1000,40,0,,,0.46,0.01,0.82,0.56,33,0.91,0.03,,33.32,9.26
,62.49,1386,139.1,4.6,136.6,62.71,35,1000,38.8,0,,,0.45,0.01,0.83,0.56,34,0.92,0.03,,34.3,9.53
,62.94,1449,129.3,4.4,129.3,63.16,37,1000,36.9,0,,,0.45,0.01,0.84,0.57,36,0.61,0.03,,36.26,10.07
,63.38,1491,117.1,4,117.1,63.61,38,1000,30.6,0,,,0.44,0.01,0.84,0.57,37,0.30,0.03,,37.24,10.34
,63.83,1512,97.6,3.4,95.2,64.06,39,1000,25.9,0,,,0.45,0.01,0.85,0.58,38,0.30,0.03,,38.22,10.62
,64.28,1554,73.2,2.6,68.3,64.5,39,1000,17.6,0,,,0.45,0.01,0.86,0.58,38,0.30,0.03,,38.22,10.62
,64.73,1533,43.9,1.4,41.5,64.95,40,1000,14.9,0,,,0.45,0.01,0.87,0.59,39,-0.30,0.03,,39.2,10.89
,65.18,1554,41.5,1.2,41.5,65.42,40,1000,14.9,0,,,0.45,0.01,0.87,0.59,39,-0.30,0.03,,39.2,10.89
,65.64,1533,41.5,1.2,41.5,65.86,39,1000,14.9,0,,,0.46,0.01,0.88,0.60,38,0.00,0.03,,38.22,10.62
,66.1,1512,43.9,1.4,41.5,66.33,39,1000,15.3,0,,,0.46,0.01,0.89,0.60,38,0.00,0.03,,38.22,10.62
,66.55,1533,41.5,1.2,43.9,66.79,39,1000,15.3,0,,,0.45,0.01,0.90,0.61,38,0.00,0.03,,38.22,10.62
,67.02,1512,41.5,1.4,43.9,67.24,39,1000,16.1,0,,,0.47,0.02,0.91,0.61,38,0.00,0.03,,38.22,10.62
,67.48,1512,46.4,1.4,46.4,67.7,39,1000,18.4,0,,,0.46,0.02,0.91,0.62,38,0.00,0.03,,38.22,10.62
,67.93,1533,56.1,1.8,61,68.17,39,1000,25.9,0,,,0.45,0.02,0.92,0.62,38,0.30,0.03,,38.22,10.62
,68.39,1554,87.8,3,90.3,68.61,39,1000,31.8,0,,,0.46,0.02,0.93,0.63,38,0.30,0.03,,38.22,10.62
,68.84,1554,100,3.6,100,69.06,40,1000,32.2,0,,,0.45,0.02,0.94,0.63,39,0.31,0.03,,39.2,10.89
